,strDrink,idDrink,strAlcoholic,strCategory,strIngredient1,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9
85,Amaretto Tea,11029,Alcoholic,Ordinary Drink,Tea,,,,,,,Amaretto,Whipped cream,,,,,,
86,Americano,15941,Alcoholic,Ordinary Drink,Campari,,,,,,,Sweet Vermouth,Lemon peel,Orange peel,,,,,
87,Angel Face,11034,Alcoholic,Ordinary Drink,Apricot brandy,,,,,,,Apple brandy,Gin,,,,,,
88,Angelica Liqueur,12794,Alcoholic,Homemade Liqueur,Angelica root,Water,Food coloring,Food coloring,,,,Almond,Allspice,Cinnamon,Anise,Coriander,Marjoram leaves,Vodka,Sugar
89,Apello,15106,Non alcoholic,Other/Unknown,Orange juice,,,,,,,Grapefruit juice,Apple juice,Maraschino cherry,,,,,
90,Apple Berry Smoothie,12710,Non alcoholic,Other/Unknown,Berries,,,,,,,Apple,,,,,,,
91,Apple Cider Punch #1,12864,Optional alcohol,Punch / Party Drink,Apple cider,,,,,,,Brown sugar,Lemonade,Orange juice,Cloves,Allspice,Nutmeg,Cinnamon,
92,Apple Grande,16289,Alcoholic,Punch / Party Drink,Tequila,,,,,,,Apple cider,,,,,,,
93,Apple Karate,12564,Non alcoholic,Cocktail,Apple juice,,,,,,,Carrot,,,,,,,
94,Apple Pie with A Crust,16958,Alcoholic,Other/Unknown,Apple juice,,,,,,,Malibu rum,Cinnamon,,,,,,
95,Apple Slammer,13683,Alcoholic,Shot,7-Up,,,,,,,Apple schnapps,,,,,,,
96,Applecar,11046,Alcoholic,Ordinary Drink,Applejack,,,,,,,Triple sec,Lemon juice,,,,,,
97,Applejack,16311,Alcoholic,Cocktail,Jack Daniels,,,,,,,Midori melon liqueur,Sour mix,,,,,,
98,Apricot Lady,11050,Alcoholic,Ordinary Drink,Light rum,,,,,,,Apricot brandy,Triple sec,Lemon juice,Egg white,Orange,,,
99,Apricot punch,15849,Alcoholic,Punch / Party Drink,Apricot brandy,,,,,,,Champagne,Vodka,7-Up,Orange juice,,,,
100,Archbishop,11052,Alcoholic,Ordinary Drink,Gin,,,,,,,Wine,Benedictine,Lime,,,,,
101,Arctic Fish,14622,Alcoholic,Punch / Party Drink,Vodka,,,,,,,Grape soda,Orange juice,Ice,Candy,,,,
102,Arctic Mouthwash,17118,Alcoholic,Punch / Party Drink,Maui,,,,,,,Mountain Dew,Ice,,,,,,
103,Arise My Love,11053,Alcoholic,Ordinary Drink,Champagne,,,,,,,Green Creme de Menthe,,,,,,,
104,Arizona Antifreeze,16354,Alcoholic,Shot,Vodka,,,,,,,Midori melon liqueur,Sweet and sour,,,,,,
105,Arizona Stingers,14584,Alcoholic,Cocktail,Absolut Vodka,,,,,,,Iced tea,,,,,,,
106,Arizona Twister,17074,Alcoholic,Cocktail,Vodka,,,,,,,Malibu rum,Gold tequila,Orange juice,Pineapple juice,Cream of coconut,Grenadine,Ice,Pineapple
107,Army special,17066,Alcoholic,Cocktail,Vodka,,,,,,,Gin,Lime juice cordial,Ice,,,,,
108,Arthur Tompkins,11054,Alcoholic,Ordinary Drink,Gin,,,,,,,Grand Marnier,Lemon juice,Lemon peel,,,,,
109,Artillery,11055,Alcoholic,Ordinary Drink,Sweet Vermouth,,,,,,,Gin,Bitters,,,,,,
110,Artillery Punch,12870,Alcoholic,Punch / Party Drink,Tea,,,,,,,Rye whiskey,Red wine,Rum,Brandy,Benedictine,Orange juice,Lemon juice,
111,Atlantic Sun,13423,Alcoholic,Ordinary Drink,Vodka,,,,,,,Southern Comfort,Passion fruit syrup,Sweet and sour,Club soda,,,,
112,Atomic Lokade,13086,Alcoholic,Ordinary Drink,Lemonade,,,,,,,Vodka,Blue Curacao,Triple sec,Sugar,Ice,,,
113,Auburn Headbanger,17020,Alcoholic,Shot,Jägermeister,,,,,,,Goldschlager,,,,,,,
114,Autodafé,12756,Alcoholic,Ordinary Drink,Vodka,,,,,,,Lime juice,Soda water,,,,,,
115,Avalanche,16419,Alcoholic,Milk / Float / Shake,Crown Royal,,,,,,,Kahlua,Cream,,,,,,
116,Avalon,15266,Alcoholic,Ordinary Drink,Vodka,,,,,,,Pisang Ambon,Apple juice,Lemon juice,Lemonade,,,,
117,Aviation,17180,Alcoholic,Cocktail,Gin,,,,,,,lemon juice,maraschino liqueur,,,,,,
118,Aztec Punch,14364,Alcoholic,Punch / Party Drink,Lemonade,,,,,,,Vodka,Rum,Ginger ale,,,,,
119,B-52,15853,Alcoholic,Shot,Bailey's irish cream,,,,,,,Grand Marnier,Kahlua,,,,,,
120,B-53,13332,Alcoholic,Shot,Kahlua,,,,,,,Sambuca,Grand Marnier,,,,,,
121,Baby Eskimo,15511,Alcoholic,Milk / Float / Shake,Kahlua,,,,,,,Milk,Vanilla ice-cream,,,,,,
122,Baby Guinness,17079,Alcoholic,Shot,Kahlua,,,,,,,Bailey's irish cream,,,,,,,
123,Bacardi Cocktail,17183,Alcoholic,Ordinary Drink,Light rum,,,,,,,Lime juice,Sugar syrup,Grenadine,,,,,
124,Bailey's Dream Shake,14510,Alcoholic,Soft Drink / Soda,Bailey's irish cream,,,,,,,Vanilla ice-cream,Cream,,,,,,
125,Balmoral,11060,Alcoholic,Ordinary Drink,Scotch,,,,,,,Sweet Vermouth,Dry Vermouth,Bitters,,,,,
126,Banana Cantaloupe Smoothie,12708,Non alcoholic,Other/Unknown,Cantaloupe,,,,,,,Banana,,,,,,,
127,Banana Daiquiri,11064,Alcoholic,Ordinary Drink,Light rum,,,,,,,Triple sec,Banana,Lime juice,Sugar,Cherry,,,
128,Banana Milk Shake,12654,Non alcoholic,Milk / Float / Shake,Milk,,,,,,,Orange juice,Sugar syrup,Banana,,,,,
129,Banana Strawberry Shake,12656,Non alcoholic,Milk / Float / Shake,Strawberries,,,,,,,Banana,Yoghurt,Milk,Honey,,,,
130,Banana Strawberry Shake Daiquiri-type,12658,Non alcoholic,Milk / Float / Shake,Strawberries,,,,,,,Banana,Apple juice,,,,,,
131,Barracuda,17209,Alcoholic,Ordinary Drink,Rum,,,,,,,Galliano,Pineapple Juice,Lime Juice,Prosecco,,,,
